chembl_id,ic50_value,units,pchembl_value,target_chembl_id,target_name,assay_chembl_id,activity_comment
CHEMBL361103,200,nM,6.7,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL874553,
CHEMBL7976,1410,nM,5.85,CHEMBL2039,Monoamine oxidase B,CHEMBL1003729,
CHEMBL1094278,300,nM,6.52,CHEMBL614361,T47D,CHEMBL1109973,
CHEMBL1097571,230,nM,6.64,CHEMBL614361,T47D,CHEMBL1109973,
CHEMBL121516,30,nM,7.52,CHEMBL387,MCF7,CHEMBL1109970,
CHEMBL1236726,190,nM,6.72,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL3391053,
CHEMBL1688136,69000,nM,4.16,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688137,74000,nM,4.13,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688139,4200,nM,5.38,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688140,4500,nM,5.35,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688142,15000,nM,4.82,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688143,6000,nM,5.22,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688144,87000,nM,4.06,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688145,9500,nM,5.02,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688146,2400,nM,5.62,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688147,3100,nM,5.51,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688148,54000,nM,4.27,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688149,7200,nM,5.14,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688150,6200,nM,5.21,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688151,6200,nM,5.21,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688152,47000,nM,4.33,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688159,11000,nM,4.96,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688161,88000,nM,4.06,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688170,3000,nM,5.52,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688251,700,nM,6.16,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688252,400,nM,6.4,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688253,2300,nM,5.64,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688254,2300,nM,5.64,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL3705908,232301
CHEMBL1688255,1500,nM,5.82,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688256,1400,nM,5.85,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688257,1400,nM,5.85,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL3705908,232305
CHEMBL1688258,400,nM,6.4,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688259,450,nM,6.35,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688260,360,nM,6.44,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688261,3500,nM,5.46,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688262,869,nM,6.06,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL3705908,232316
CHEMBL1688263,2500,nM,5.6,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688264,3200,nM,5.5,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688265,1400,nM,5.85,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688266,570,nM,6.24,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688267,980,nM,6.01,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688268,580,nM,6.24,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688269,730,nM,6.14,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688270,380,nM,6.42,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688271,660,nM,6.18,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688272,569,nM,6.25,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL3705908,232313
CHEMBL1688273,400,nM,6.4,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688274,225,nM,6.65,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2,CHEMBL1838865,
CHEMBL1688275,390,nM,6.41,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688276,310,nM,6.51,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688277,1800,nM,5.75,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
CHEMBL1688278,2600,nM,5.58,CHEMBL5023,p53-binding protein Mdm-2,CHEMBL1694433,
