CID,MW,XLogP3,HBDC,HDAC,RBC,ExactMass,MonoMass,TPSA,HAC,Charge,Complexity,IsotopeAtoms,DASC,UASC,DBSC,UBSC,CBU,chembl_id,ic50_value,log_ic50,target_chembl_id,target_name
171344548,343.28,-0.7,4,9,3,343.09797691,343.09797691,121.0,24,0,437.0,0,4,1,0,0,1,CHEMBL5272028,0.019,-1.7212463990471711,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
51350892,463.9,4.4,1,4,8,463.155036,463.155036,59.0,33,0,684.0,0,0,1,0,0,1,CHEMBL1688283,2800.0,3.4471580313422194,CHEMBL5023,p53-binding protein Mdm-2
155517097,381.6,2.0,3,5,8,381.16570285,381.16570285,127.0,25,0,416.0,0,0,0,0,0,1,CHEMBL4444488,19952.62,4.29999993144297,CHEMBL612545,Unchecked
118714484,1985.4,-1.6,21,26,40,1984.04268107,1984.04268107,725.0,139,0,4180.0,0,17,0,0,0,1,CHEMBL3335459,350.0,2.5440680443502757,CHEMBL3430909,Transcriptional coactivator YAP1/Transcriptional enhancer factor TEF-1
16090463,359.8,3.6,1,3,7,359.1288213,359.1288213,49.8,25,0,452.0,0,0,1,0,0,1,CHEMBL433949,16400.0,4.214843848047698,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
44570090,640.2,7.0,1,4,12,639.2976179,639.2976179,87.5,46,0,999.0,0,0,0,0,0,1,CHEMBL449546,40.0,1.6020599913279623,CHEMBL4860,Apoptosis regulator Bcl-2
45483773,550.2,6.1,0,4,2,549.98269,547.98474,43.2,32,0,719.0,0,0,2,0,0,1,CHEMBL568530,1170.0,3.0681858617461617,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
44417639,464.6,3.9,3,4,8,464.20999276,464.20999276,72.8,35,0,683.0,0,0,3,0,0,1,CHEMBL215009,85000.0,4.929418925714293,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
68000688,566.5,4.3,1,5,10,565.1456497,565.1456497,100.0,37,0,927.0,0,4,0,0,0,1,CHEMBL4111077,4.1,0.6127838567197355,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
44390649,540.8,5.0,2,4,6,540.03128,540.03128,86.7,30,0,653.0,0,2,0,0,0,1,CHEMBL361559,12000.0,4.079181246047625,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
