CID,MW,XLogP3,HBDC,HDAC,RBC,ExactMass,MonoMass,TPSA,HAC,Charge,Complexity,IsotopeAtoms,DASC,UASC,DBSC,UBSC,CBU,chembl_id,ic50_value,log_ic50,target_chembl_id,target_name
155561606,446.5,5.7,1,8,6,446.17520247,446.17520247,69.3,31,0,592.0,0,2,0,0,0,1,CHEMBL4580675,84.38,1.9262395210458623,CHEMBL6136,Lysine-specific histone demethylase 1
44593461,556.7,5.9,1,4,6,556.2474409,556.2474409,78.7,42,0,900.0,0,1,0,0,0,1,CHEMBL503783,390.0,2.591064607026499,CHEMBL4860,Apoptosis regulator Bcl-2
68000595,621.6,5.8,2,6,11,620.1878489,620.1878489,112.0,41,0,1040.0,0,4,0,0,0,1,CHEMBL4109111,0.7,-0.1549019599857432,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
56671914,483.0,4.1,1,5,7,482.1608497,482.1608497,95.6,34,0,822.0,0,0,1,0,0,1,CHEMBL1834382,3470.0,3.5403294747908736,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
49791889,418.6,5.2,1,4,8,418.262028332,418.262028332,56.5,31,0,573.0,0,1,0,0,0,1,CHEMBL3124953,529.0,2.7234556720351857,CHEMBL1615381,Menin
90015529,524.0,2.8,0,5,5,523.1786456,523.1786456,72.6,37,0,983.0,0,0,1,0,0,1,CHEMBL3918620,0.861,-0.06499684854634524,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
118712498,525.5,6.0,1,4,7,524.1633482,524.1633482,70.5,36,0,774.0,0,4,0,0,0,1,CHEMBL3329616,3.0,0.47712125471966244,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
24968162,626.6,5.5,0,5,5,625.204502,625.204502,84.8,42,0,1110.0,0,3,0,0,0,1,CHEMBL2315851,23.0,1.3617278360175928,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
139559903,587.6,2.3,4,13,10,587.06683622,587.06683622,219.0,40,0,1110.0,0,0,0,0,0,1,CHEMBL4641622,350.0,2.5440680443502757,CHEMBL3038498,Keap1/Nrf2
76324914,672.9,0.0,1,10,5,671.09219,671.09219,78.9,42,0,924.0,0,0,1,0,0,2,CHEMBL3112783,2900.0,3.462397997898956,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
1779738,257.33,2.5,0,3,2,257.141578849,257.141578849,29.5,19,0,371.0,0,0,0,0,0,1,CHEMBL1398736,7542.0,3.8774865280696016,CHEMBL4374,Photoreceptor-specific nuclear receptor
60169703,1075.8,9.6,3,13,20,1074.4374999,1074.4374999,205.0,75,0,1900.0,0,1,0,0,0,1,CHEMBL2159734,5.0,0.6989700043360189,CHEMBL4625,Apoptosis regulator Bcl-X
162670434,1371.5,-4.1,18,17,36,1370.72075237,1370.72075237,560.0,98,0,2870.0,0,13,0,0,0,1,CHEMBL4791680,1700.0,3.230448921378274,CHEMBL2093861,Menin/Histone-lysine N-methyltransferase MLL
68000395,580.6,5.8,1,5,10,579.1612998,579.1612998,100.0,38,0,943.0,0,4,0,0,0,1,CHEMBL3984400,0.5,-0.3010299956639812,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
168274486,762.8,7.2,2,11,15,762.17057301,762.17057301,175.0,54,0,1410.0,0,0,0,0,0,1,CHEMBL5175042,750.0,2.8750612633917,CHEMBL3038498,Keap1/Nrf2
118720292,417.3,4.1,1,2,3,416.1058333,416.1058333,49.4,28,0,615.0,0,1,1,0,0,1,CHEMBL3354604,3900.0,3.591064607026499,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
145974843,574.5,5.3,2,5,7,573.1961255,573.1961255,70.7,39,0,952.0,0,3,0,0,0,1,CHEMBL4214609,3680.0,3.5658478186735176,CHEMBL1907611,Tumour suppressor p53/oncoprotein Mdm2
