Feature,Importance
Chi4n,0.24997337794380428
VSA_EState10,0.05965113316522716
PEOE_VSA9,0.047703145870262344
SlogP_VSA7,0.04596207357393109
SlogP_VSA5,0.024580051317494335
BCUT2D_LOGPLOW,0.02203801100987297
BCUT2D_LOGPHI,0.02201253884253102
AvgIpc,0.016557146177410692
PEOE_VSA3,0.014608429402795314
BCUT2D_CHGHI,0.013541632638908119
MinPartialCharge,0.012732205821453386
BCUT2D_MRLOW,0.011737628338486747
BCUT2D_MRHI,0.011708287996837626
VSA_EState1,0.011031680155715772
BCUT2D_MWLOW,0.010162198434035097
MaxAbsEStateIndex,0.009972639585143703
BalabanJ,0.009618248975674003
Chi4v,0.009542336105051794
BCUT2D_MWHI,0.008320326346763338
BCUT2D_CHGLO,0.008275466152441173
NumAromaticHeterocycles,0.008137145642989818
fr_NH0,0.008084301919107256
MinEStateIndex,0.007734033814265858
MaxAbsPartialCharge,0.007721062814344633
EState_VSA3,0.007677568073234704
TPSA,0.007216733809227188
MolLogP,0.00712767260035905
BertzCT,0.006834868757251462
SlogP_VSA10,0.006731274571709628
VSA_EState8,0.006586373453525116
SlogP_VSA8,0.006380782897815705
SMR_VSA5,0.0057758455443043125
SPS,0.005774889110272062
VSA_EState7,0.005714883178221508
VSA_EState3,0.0055624920303325755
PEOE_VSA8,0.005483228351804306
fr_bicyclic,0.005355856142214021
VSA_EState4,0.005326461264062685
MinAbsEStateIndex,0.005268957517835919
NumRotatableBonds,0.005145704854044447
VSA_EState5,0.005120234820613837
VSA_EState9,0.005072422938440363
EState_VSA4,0.0050007915791027225
PEOE_VSA10,0.004936570225349902
PEOE_VSA12,0.004821003146433946
PEOE_VSA7,0.0047217951797627515
MaxEStateIndex,0.004702539710239272
FpDensityMorgan3,0.004699329586051267
NumAtomStereoCenters,0.0045883317641135495
FpDensityMorgan2,0.0045770533889700794
EState_VSA6,0.00456041405468099
SlogP_VSA3,0.00449848121563343
EState_VSA5,0.004461396377651881
SMR_VSA10,0.004429290882171321
VSA_EState6,0.004329042993605487
SMR_VSA3,0.004058961447188641
fr_pyridine,0.004056268030450753
