Feature,Coefficient
LabuteASA,-954.7745801343981
HeavyAtomMolWt,-291.50449130585173
MolWt,245.62704850120176
HeavyAtomCount,171.81199398837816
NumValenceElectrons,-107.08462603505573
SMR_VSA5,93.95945691052901
SlogP_VSA2,90.8819015012048
PEOE_VSA7,82.10058612223935
ExactMolWt,73.94427695440503
PEOE_VSA6,73.92917333541325
EState_VSA1,72.63426637141295
SMR_VSA7,69.60235245232994
SlogP_VSA5,62.4856271599514
PEOE_VSA8,62.413600909903835
PEOE_VSA1,56.28707846239859
SlogP_VSA6,55.61450747687341
EState_VSA7,51.533224417757985
PEOE_VSA10,45.180249763531776
EState_VSA2,45.155799880180886
SMR_VSA10,45.1103460317595
SMR_VSA6,44.197932673169234
PEOE_VSA12,44.00778578887796
EState_VSA6,42.394072946143254
EState_VSA4,41.643575863365
EState_VSA8,41.624305042752596
PEOE_VSA2,40.449364811546715
PEOE_VSA9,36.8797613867474
EState_VSA5,36.73840066906665
MolMR,-32.97366493752541
SMR_VSA3,32.26036190682893
EState_VSA3,32.07541647137468
SlogP_VSA3,31.96064247891612
SMR_VSA1,31.55376176890473
SlogP_VSA1,31.142833547244404
Chi1,-29.66113999835418
EState_VSA10,27.604689766461334
SlogP_VSA12,23.82138746622259
EState_VSA9,23.051149736932352
PEOE_VSA13,21.003285155026614
NumHeteroatoms,20.707670028345092
PEOE_VSA3,20.212712261114717
SMR_VSA9,20.02090998987166
PEOE_VSA4,19.57481601542178
SlogP_VSA8,19.021563971320887
SlogP_VSA10,18.38485947752836
SMR_VSA4,18.275624170438075
PEOE_VSA11,16.95519089182944
SlogP_VSA4,16.691856727549332
PEOE_VSA14,16.397024636043312
PEOE_VSA5,15.149156395057329
VSA_EState2,-11.354618429569012
SlogP_VSA11,11.037535395532249
SlogP_VSA7,9.078630667960468
EState_VSA11,8.634009466942889
VSA_EState1,-8.474322399288944
Kappa1,-8.30333880127958
fr_C_O_noCOO,-7.0378528826179405
fr_C_O,6.805746897014231
Chi0n,-6.44062656341023
fr_NH1,-6.1776402671495045
NOCount,-6.004753945165085
Chi1n,4.724120748176505
SMR_VSA2,4.640468261828758
Chi0v,-4.320901737902416
Phi,3.9298680753804938
VSA_EState3,-3.655677993504632
fr_NH0,-3.6392694582795464
Kappa2,-3.033391349574053
HallKierAlpha,-2.807879994222385
VSA_EState6,-2.5028607486396908
NumHDonors,2.447461023495247
fr_halogen,2.3415591418837636
fr_NH2,-2.2006565544475922
VSA_EState10,-2.038057154716846
FpDensityMorgan2,-1.6763465548916447
Chi0,1.6727330784312173
TPSA,1.618015361803522
Chi2n,-1.617570677565915
fr_benzene,1.412161531307099
BertzCT,-1.3041110594301508
RingCount,-1.2224368547169533
NumAromaticCarbocycles,-1.2188541089367675
VSA_EState4,-1.189996909788725
FpDensityMorgan3,1.1616934598569468
fr_amide,1.0782207373433081
NumAmideBonds,1.0782207368144583
NumAromaticRings,-1.0291328443150576
VSA_EState9,-0.7962970822164692
fr_phenol,-0.7735888446350003
Chi4v,-0.7433162929149439
VSA_EState7,-0.7145599203030741
NumHAcceptors,0.6954977173946233
VSA_EState8,-0.6567954477585118
